epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.6821459540264393,0.40357638184854755,0.6234277571446797,0.5437155725687919,0.0049829197337053245,9.938441702975689e-05,91.53503961899992
2,0.588079998163673,0.5575946693921962,0.5578785027272603,0.5715783047958238,0.1351071762442114,9.755282581475769e-05,48.953887931000054
3,0.5291355360087341,0.5538231866752229,0.5037509269968292,0.5331558348864494,0.11651520000596442,9.45503262094184e-05,48.740942088
4,0.47575524207053144,0.5608962930254335,0.45521121723412056,0.5481449422046277,0.15907878293115613,9.045084971874738e-05,49.057327254999905
5,0.41016614797517537,0.6002157706070722,0.37740176175473006,0.5959861784644381,0.19427026132903413,8.535533905932738e-05,49.02282242399997
6,0.32259938962818163,0.6540756142599796,0.2951113472323446,0.6449768088273042,0.29711778886955054,7.938926261462366e-05,48.58616396600007
7,0.24915540548480622,0.6818183863429519,0.2454633421799135,0.6415672069649342,0.2973974493197979,7.269952498697734e-05,49.14868457599982
8,0.20408505196796684,0.704081744379629,0.21773106662126687,0.6435574780805587,0.3213070160270268,6.545084971874738e-05,48.596935985999835
9,0.17644476542264464,0.7229182359164323,0.19738698887401784,0.6671054925791611,0.3388979882579768,5.782172325201156e-05,48.82589273999997
10,0.15958593385975536,0.736621406625926,0.1935930975090117,0.6595761059127616,0.31456421423403574,5.000000000000001e-05,48.86792994899997
11,0.14805053616684627,0.7478822737785092,0.1857755714090618,0.6663944154347199,0.33989441078434995,4.217827674798848e-05,48.29060745800007
12,0.13783332426858141,0.7608866550452341,0.18624451271528322,0.6616013908954778,0.3279593692868292,3.454915028125264e-05,49.06298677799987
13,0.13064803579837325,0.7704867116682897,0.18466092884187868,0.6608026121217129,0.3318846086175234,2.730047501302267e-05,48.729777812000066
14,0.12525408378824954,0.7780295695231213,0.1854715933637506,0.6577375935983386,0.3262479916637541,2.0610737385376356e-05,48.87110927100002
15,0.12162077629832717,0.7827051825276236,0.18478350861538093,0.6564956794300626,0.3335084342659479,1.464466094067263e-05,48.68690634000018
16,0.11750117247182179,0.7892162719272017,0.18531069538649722,0.6546890076276624,0.3211870991528507,9.549150281252635e-06,48.625972851999904
17,0.11439889557356757,0.7944288237429247,0.18122200659040869,0.6623612541405418,0.33533158023679743,5.4496737905816115e-06,48.52133081900001
