epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,288.488,1.64877,2.04571,2.4623,1.45913,0,0.47269,0.50087,0.46033,0.2151,0.47599,0.50524,0.46615,0.13878,1.79955,1.88827,2.12751,1.60615,0,0.000663968,0.000663968,0.000663968
2,354.638,1.7007,1.89195,1.87305,1.49919,0,0.38563,0.39773,0.32956,0.15159,0.41947,0.38199,0.33183,0.1026,1.80165,1.87961,2.07229,1.63194,0,0.00131966,0.00131966,0.00131966
3,420.704,1.70301,1.90064,1.79167,1.479,0,0.43802,0.48601,0.41353,0.20245,0.45142,0.48077,0.41211,0.12627,1.68866,1.91128,2.18206,1.52214,0,0.00196435,0.00196435,0.00196435
4,486.64,1.65764,1.85969,1.7159,1.44601,0,0.5273,0.50606,0.48812,0.24842,0.5317,0.50787,0.49105,0.15828,1.60263,1.76423,1.69891,1.48901,0,0.0019505,0.0019505,0.0019505
5,553.052,1.60759,1.80129,1.6745,1.41951,0,0.56828,0.54885,0.53758,0.28528,0.57894,0.55288,0.53692,0.17695,1.52493,1.73032,1.59112,1.39067,0,0.001934,0.001934,0.001934
6,619.324,1.57664,1.76224,1.582,1.40599,0,0.50395,0.51661,0.46805,0.23608,0.5062,0.50524,0.4422,0.14175,1.60472,1.82574,1.68456,1.45534,0,0.0019175,0.0019175,0.0019175
7,685.09,1.53756,1.78481,1.52342,1.39008,0,0.54952,0.5271,0.51766,0.26506,0.53959,0.52452,0.51386,0.17469,1.53828,1.72528,1.5178,1.41912,0,0.001901,0.001901,0.001901
8,750.89,1.52629,1.73901,1.47857,1.38217,0,0.53926,0.52972,0.51585,0.27139,0.5473,0.52448,0.50794,0.16336,1.52786,1.72356,1.59354,1.41033,0,0.0018845,0.0018845,0.0018845
9,816.584,1.46767,1.72471,1.46176,1.34722,0,0.51156,0.56852,0.53743,0.28907,0.56819,0.51311,0.53352,0.18905,1.55614,1.71494,1.50025,1.42182,0,0.001868,0.001868,0.001868
10,882.437,1.46973,1.74483,1.46696,1.34581,0,0.55373,0.56731,0.55158,0.29658,0.57045,0.55952,0.55138,0.19626,1.49718,1.67787,1.49355,1.37866,0,0.0018515,0.0018515,0.0018515
11,948.469,1.46845,1.73281,1.45702,1.35771,0,0.53068,0.55549,0.50922,0.28073,0.56178,0.53902,0.52206,0.17734,1.45234,1.71038,1.56791,1.36731,0,0.001835,0.001835,0.001835
12,1014.18,1.46158,1.71246,1.42052,1.33605,0,0.58655,0.61881,0.60138,0.32061,0.57827,0.61007,0.58698,0.19758,1.47166,1.71666,1.3911,1.3708,0,0.0018185,0.0018185,0.0018185
13,1080.36,1.43288,1.69347,1.37756,1.33318,0,0.57034,0.61267,0.60545,0.33231,0.56296,0.5979,0.59493,0.20678,1.43332,1.65939,1.34945,1.35908,0,0.001802,0.001802,0.001802
14,1146.34,1.43508,1.71684,1.40631,1.3411,0,0.59591,0.61014,0.58882,0.33345,0.6052,0.61014,0.59391,0.21603,1.38329,1.65428,1.38635,1.31959,0,0.0017855,0.0017855,0.0017855
15,1212.42,1.41107,1.68417,1.35196,1.31362,0,0.57516,0.56294,0.56304,0.3147,0.59206,0.56906,0.56778,0.20807,1.46342,1.65017,1.39005,1.35997,0,0.001769,0.001769,0.001769
16,1278.25,1.42552,1.70496,1.36906,1.32416,0,0.54273,0.59091,0.5647,0.31388,0.56085,0.5708,0.56013,0.2017,1.44475,1.68446,1.42291,1.36355,0,0.0017525,0.0017525,0.0017525
17,1344.36,1.39206,1.64552,1.32901,1.30034,0,0.56997,0.60246,0.57992,0.32979,0.5602,0.59878,0.57319,0.20885,1.40107,1.65079,1.36881,1.33805,0,0.001736,0.001736,0.001736
18,1410.42,1.40388,1.68323,1.36935,1.31061,0,0.61568,0.56206,0.58921,0.33819,0.63109,0.57255,0.59425,0.21813,1.39892,1.62713,1.37967,1.34682,0,0.0017195,0.0017195,0.0017195
19,1476.65,1.35234,1.65743,1.30987,1.28412,0,0.64301,0.6049,0.64684,0.37143,0.65715,0.60987,0.64726,0.24068,1.34863,1.61034,1.3029,1.31281,0,0.001703,0.001703,0.001703
20,1543.05,1.38583,1.63489,1.30951,1.29848,0,0.59762,0.63462,0.62265,0.35646,0.60661,0.63374,0.62386,0.22627,1.37736,1.61565,1.29585,1.32219,0,0.0016865,0.0016865,0.0016865
21,1608.72,1.37081,1.64456,1.3116,1.28995,0,0.6027,0.60733,0.61942,0.35556,0.63088,0.60402,0.62062,0.23203,1.37822,1.61301,1.29976,1.30778,0,0.00167,0.00167,0.00167
22,1674.51,1.35977,1.6567,1.31673,1.2877,0,0.61323,0.63287,0.62633,0.3429,0.62291,0.631,0.62777,0.22554,1.43998,1.65802,1.29901,1.3442,0,0.0016535,0.0016535,0.0016535
23,1740.67,1.35769,1.6419,1.27268,1.27862,0,0.6243,0.56206,0.60852,0.34232,0.63129,0.5472,0.59826,0.21718,1.42032,1.71393,1.37542,1.35883,0,0.001637,0.001637,0.001637
24,1806.52,1.34349,1.65428,1.26047,1.26907,0,0.56644,0.63549,0.59219,0.33329,0.57872,0.63462,0.6031,0.21628,1.38595,1.62351,1.31749,1.31383,0,0.0016205,0.0016205,0.0016205
25,1872.65,1.34402,1.62522,1.27684,1.27584,0,0.5366,0.53759,0.52074,0.28781,0.54028,0.53846,0.52324,0.18312,1.47616,1.73607,1.56323,1.39691,0,0.001604,0.001604,0.001604
26,1938.69,1.33221,1.62585,1.25638,1.27644,0,0.63303,0.6107,0.62856,0.35776,0.63521,0.60734,0.61981,0.22275,1.35237,1.61066,1.28162,1.30506,0,0.0015875,0.0015875,0.0015875
27,2004.4,1.3354,1.62208,1.26555,1.27352,0,0.61466,0.63636,0.64567,0.36289,0.63226,0.65676,0.65888,0.23756,1.35899,1.61476,1.27168,1.31403,0,0.001571,0.001571,0.001571
28,2070.1,1.34395,1.64313,1.29389,1.27795,0,0.55226,0.57605,0.5702,0.3162,0.55547,0.5708,0.56104,0.19454,1.43817,1.70127,1.45496,1.35836,0,0.0015545,0.0015545,0.0015545
29,2136.12,1.31205,1.60246,1.23617,1.26559,0,0.59536,0.61607,0.60906,0.33786,0.59762,0.62058,0.61271,0.21932,1.38468,1.63627,1.29019,1.34569,0,0.001538,0.001538,0.001538
30,2201.94,1.31768,1.61436,1.22961,1.26239,0,0.5964,0.62238,0.62722,0.35603,0.59691,0.62063,0.62857,0.22909,1.36921,1.62572,1.27949,1.32095,0,0.0015215,0.0015215,0.0015215
31,2268.06,1.30982,1.62646,1.23815,1.25154,0,0.54815,0.60052,0.56471,0.31724,0.57223,0.59615,0.57033,0.20319,1.40862,1.67133,1.40657,1.36046,0,0.001505,0.001505,0.001505
32,2334.24,1.29576,1.62168,1.2188,1.23527,0,0.60337,0.5811,0.59453,0.33586,0.61986,0.56469,0.60315,0.21708,1.36332,1.63601,1.32014,1.32789,0,0.0014885,0.0014885,0.0014885
33,2400.02,1.30136,1.60567,1.24857,1.25741,0,0.58159,0.58916,0.5837,0.33698,0.59619,0.5778,0.59111,0.21728,1.35581,1.61477,1.32657,1.31943,0,0.001472,0.001472,0.001472
34,2465.79,1.30316,1.62267,1.22072,1.25441,0,0.48833,0.47115,0.4403,0.24521,0.49865,0.47465,0.45208,0.1591,1.50598,1.76123,1.83256,1.40904,0,0.0014555,0.0014555,0.0014555
35,2531.99,1.26759,1.584,1.18183,1.23498,0,0.57735,0.64073,0.61431,0.34218,0.58444,0.64419,0.61319,0.21867,1.35996,1.63438,1.3014,1.32654,0,0.001439,0.001439,0.001439
36,2597.87,1.28836,1.61777,1.22349,1.23642,0,0.59594,0.60337,0.63893,0.3674,0.6179,0.60315,0.63835,0.23656,1.366,1.61316,1.25411,1.31662,0,0.0014225,0.0014225,0.0014225
37,2663.68,1.272,1.58476,1.19044,1.23738,0,0.59838,0.61364,0.61434,0.35112,0.6289,0.58654,0.62046,0.2269,1.35978,1.61924,1.3126,1.32461,0,0.001406,0.001406,0.001406
38,2729.46,1.26922,1.59605,1.1871,1.23675,0,0.61654,0.61888,0.63694,0.36494,0.64,0.60402,0.63468,0.22934,1.35792,1.60215,1.25256,1.31654,0,0.0013895,0.0013895,0.0013895
39,2795.64,1.27884,1.604,1.18648,1.24484,0,0.61298,0.63132,0.63169,0.36564,0.62498,0.62587,0.63096,0.22617,1.35261,1.62822,1.25861,1.30647,0,0.001373,0.001373,0.001373
