epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,348.521,1.75209,2.16598,2.93495,1.59144,0,0,0,0,0,0,0,0,0,1.88564,2.14097,1037.67,1.9551,0,0.000662252,0.000662252,0.000662252
2,425.375,1.85434,2.05901,2.13024,1.6711,0,0.19544,0.15865,0.08436,0.03252,0.14051,0.11704,0.0434,0.01029,2.5758,3.07379,3.68179,2.50808,0,0.00131576,0.00131576,0.00131576
3,503.259,1.88263,2.14795,2.17515,1.66378,0,0.26663,0.3433,0.20174,0.07741,0.25694,0.28739,0.15967,0.04017,2.00734,2.4068,2.7572,1.85265,0,0.00195607,0.00195607,0.00195607
4,581.237,1.79677,2.02037,2.00444,1.59876,0,0.41983,0.43475,0.36474,0.17041,0.41399,0.41065,0.35409,0.1094,1.74591,1.92315,2.11731,1.65812,0,0.0019406,0.0019406,0.0019406
5,658.715,1.75685,1.9771,1.88347,1.56519,0,0.36742,0.42913,0.33371,0.16289,0.37454,0.40415,0.32661,0.10253,1.7473,1.89426,2.0519,1.6217,0,0.0019208,0.0019208,0.0019208
6,735.651,1.66738,1.89464,1.81754,1.50153,0,0.4459,0.50455,0.41036,0.20094,0.43441,0.49155,0.39623,0.12381,1.68652,1.83263,1.83066,1.63201,0,0.001901,0.001901,0.001901
7,812.933,1.66987,1.89746,1.73645,1.53301,0,0.45434,0.45367,0.4099,0.20616,0.49574,0.44603,0.39583,0.12787,1.64931,1.85275,1.85798,1.60093,0,0.0018812,0.0018812,0.0018812
8,890.306,1.67872,1.91732,1.69833,1.49227,0,0.47982,0.05852,0.06649,0.0301,0.46916,0.05722,0.0589,0.01551,2.66447,3.92343,4.90067,2.35656,0,0.0018614,0.0018614,0.0018614
9,967.823,1.62014,1.85544,1.63557,1.48044,0,0.54057,0.54356,0.51558,0.26919,0.53928,0.54226,0.51502,0.16852,1.58954,1.72884,1.6053,1.57088,0,0.0018416,0.0018416,0.0018416
10,1045.36,1.60594,1.82416,1.64322,1.49149,0,0.45894,0.44733,0.39561,0.19211,0.44627,0.42003,0.37074,0.11596,1.67599,1.82452,1.85908,1.61382,0,0.0018218,0.0018218,0.0018218
11,1122.77,1.57837,1.79108,1.66846,1.46395,0,0.5037,0.51208,0.48233,0.24635,0.51199,0.48505,0.46711,0.15591,1.58213,1.7388,1.64985,1.54258,0,0.001802,0.001802,0.001802
12,1200,1.59108,1.79876,1.61742,1.47595,0,0.5402,0.54226,0.51416,0.2669,0.55981,0.55235,0.52248,0.17608,1.55946,1.7113,1.55837,1.50724,0,0.0017822,0.0017822,0.0017822
13,1277.79,1.53618,1.75931,1.54864,1.42893,0,0.48039,0.54876,0.47575,0.2522,0.48386,0.52926,0.48593,0.16506,1.54905,1.68516,1.63071,1.5103,0,0.0017624,0.0017624,0.0017624
14,1354.56,1.55784,1.73292,1.5826,1.48105,0,0.51616,0.55527,0.5119,0.28162,0.52584,0.56567,0.52687,0.18581,1.51272,1.69407,1.5698,1.52071,0,0.0017426,0.0017426,0.0017426
15,1432.05,1.52888,1.70963,1.48393,1.44293,0,0.48395,0.56437,0.50625,0.26852,0.51972,0.53706,0.51028,0.17716,1.52032,1.6498,1.58114,1.50289,0,0.0017228,0.0017228,0.0017228
16,1509.93,1.53015,1.7458,1.5483,1.44554,0,0.56961,0.60338,0.55214,0.29898,0.57575,0.60988,0.5684,0.19546,1.50765,1.66968,1.59544,1.4899,0,0.001703,0.001703,0.001703
17,1587.41,1.51963,1.75546,1.54581,1.43956,0,0.55238,0.58908,0.54756,0.292,0.55235,0.568,0.53596,0.18027,1.51433,1.68465,1.50709,1.5072,0,0.0016832,0.0016832,0.0016832
18,1664.49,1.47683,1.68986,1.45526,1.41931,0,0.51471,0.48244,0.45368,0.24503,0.53136,0.49805,0.46589,0.15721,1.59622,1.83613,1.83619,1.57583,0,0.0016634,0.0016634,0.0016634
19,1741.37,1.52821,1.71679,1.58159,1.44314,0,0.51116,0.48505,0.45286,0.23753,0.50773,0.47204,0.44449,0.14926,1.60072,1.82234,1.79966,1.54324,0,0.0016436,0.0016436,0.0016436
20,1818.93,1.47151,1.71184,1.4721,1.39544,0,0.48775,0.56587,0.48173,0.25974,0.51641,0.52276,0.47813,0.1524,1.50679,1.7735,1.55482,1.50566,0,0.0016238,0.0016238,0.0016238
21,1895.88,1.47065,1.7238,1.44256,1.39745,0,0.5213,0.59618,0.54117,0.3026,0.52841,0.60728,0.54486,0.20075,1.46383,1.64835,1.47883,1.44613,0,0.001604,0.001604,0.001604
22,1973.43,1.42691,1.68028,1.41207,1.38767,0,0.55715,0.58388,0.54449,0.29192,0.56335,0.59038,0.55962,0.1901,1.49079,1.65794,1.50231,1.5013,0,0.0015842,0.0015842,0.0015842
23,2050.59,1.49384,1.70324,1.45678,1.42493,0,0.49554,0.57217,0.5046,0.26812,0.49934,0.56567,0.50541,0.15934,1.50312,1.69892,1.54091,1.48124,0,0.0015644,0.0015644,0.0015644
24,2127.96,1.47041,1.71612,1.40744,1.40511,0,0.53134,0.58648,0.53315,0.28896,0.54326,0.56697,0.5368,0.18427,1.4488,1.63733,1.48146,1.48353,0,0.0015446,0.0015446,0.0015446
